Date,Amount,Target,Balance
31/12/2022,"-17.50","HungryPanda AU Melbourne CBD AU AUS Card xx5767 Value Date: 29/12/2022","+10729.68"
30/12/2022,"-104.00","TheGamesCapital 38 Garema PlaAU","+10747.18"
30/12/2022,"-500.00","TOP USED CARS PTY LTD FYSHWICK AU","+10851.18"
30/12/2022,"-0.99","OFFICEWORKS 0261 FYSHWICACT AU","+11351.18"
29/12/2022,"-49.99","Riot* LO2LAB9X38Q2 Dublin IR IRL Card xx5767 AUD 49.99 Value Date: 24/12/2022","+11352.17"
29/12/2022,"-34.99","eBay O*10-09506-13194 Sydney AU AUS Card xx5767 Value Date: 25/12/2022","+11402.16"
29/12/2022,"-34.77","eBay O*16-09505-24348 Sydney AU AUS Card xx5767 Value Date: 26/12/2022","+11437.15"
29/12/2022,"-19.96","HungryPanda AU Melbourne CBD AU AUS Card xx5767 Value Date: 27/12/2022","+11471.92"
28/12/2022,"-2.00","BIG W 0122 CANBERRA ACT AU","+11491.88"
27/12/2022,"-11.20","DAILY MARKET CANBERRA AU","+11493.88"
26/12/2022,"-59.90","CHEMIST ON NORTHBOUR CANBERRA AU","+11505.08"
26/12/2022,"-53.82","OFFICEWORKS 0262 BRADDON AU","+11564.98"
26/12/2022,"-39.62","COLES 4787 CANBERRA AU","+11618.80"
24/12/2022,"-11.90","BROGER ACTON ACTAU","+11658.42"
24/12/2022,"-24.20","WILD PANDA AUSTRALIA VI AUS Card xx5767 Value Date: 22/12/2022","+11670.32"
23/12/2022,"-3.00","Allwest Vending Emu HeightNSWAU","+11694.52"
23/12/2022,"-43.64","THIRSTY CAMEL DAILY ACTON AU","+11697.52"
23/12/2022,"-1.35","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 21/12/2022","+11741.16"
23/12/2022,"-3.99","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 21/12/2022","+11742.51"
23/12/2022,"-11.89","STEAMGAMES.COM 4259522 Hamburg DE DEU Card xx5767 AUD 11.89 Value Date: 20/12/2022","+11746.50"
23/12/2022,"+2.26","Return SupportPDFfiller.com 855-750-1663 MA USA Card xx5767 USD 1.50 Value Date: 21/12/2022","+11758.39"
23/12/2022,"-44.41","VIVA LEISURE MITCHELL AUS Card xx5767 Value Date: 22/12/2022","+11756.13"
22/12/2022,"-50.00","Transfer To Joe CommBank App lunch","+11800.54"
22/12/2022,"-369.00","Better Music Phillip AU","+11850.54"
21/12/2022,"-10.00","Transfer To J LUO PayID Phone from CommBank App _ __","+12219.54"
21/12/2022,"-21.00","Transfer To Joe CommBank App lunch","+12229.54"
21/12/2022,"-0.07","International Transaction Fee Value Date: 19/12/2022","+12250.54"
21/12/2022,"-2.25","SupportPDFfiller.com 855-750-1663 MA USA Card xx5767 USD 1.50 Value Date: 19/12/2022","+12250.61"
21/12/2022,"-0.09","International Transaction Fee Value Date: 15/12/2022","+12252.86"
21/12/2022,"-3.02","DLSITE TOKYO JP JPN Card xx5767 JPY 280 Value Date: 15/12/2022","+12252.95"
21/12/2022,"-15.69","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 18/12/2022","+12255.97"
21/12/2022,"-79.95","Nintendo CA882480165 Scoresby AU AUS Card xx5767 Value Date: 19/12/2022","+12271.66"
20/12/2022,"-11.85","WOOLWORTHS 1139 BELCONNEN AU AUS Card xx5767 Value Date: 16/12/2022","+12351.61"
20/12/2022,"-20.50","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 16/12/2022","+12363.46"
20/12/2022,"-54.95","EB GAMES CANBERRA AUS Card xx5767 Value Date: 16/12/2022","+12383.96"
20/12/2022,"-99.00","JB HI FI CANBERRA CI CANBERRA AC AUS Card xx5767 Value Date: 16/12/2022","+12438.91"
20/12/2022,"-5.00","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 17/12/2022","+12537.91"
20/12/2022,"-59.00","BIG W 0122 CANBERRA AU AUS Card xx5767 Value Date: 17/12/2022","+12542.91"
19/12/2022,"-6.50","The Food Co-op Shop a Canberra AU","+12601.91"
19/12/2022,"-42.28","DAILY MARKET CANBERRA AU Card xx5767","+12608.41"
17/12/2022,"-18.98","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 15/12/2022","+12650.69"
17/12/2022,"-36.00","COLES 0779 BELCONNEN AU AUS Card xx5767 Value Date: 15/12/2022","+12669.67"
16/12/2022,"-7.40","DAILY MARKET CANBERRA AU Card xx5767","+12705.67"
16/12/2022,"-73.01","DAILY MARKET CANBERRA AU","+12713.07"
16/12/2022,"-11.80","MASTER HIN BELCONNEN AU Card xx5767","+12786.08"
16/12/2022,"-8.18","FOOD ODYSSEY OPERATION CANBERRA AU Card xx5767","+12797.88"
16/12/2022,"-16.99","Netflix.com Melbourne VI AUS Card xx5767 Value Date: 15/12/2022","+12806.06"
15/12/2022,"-12.00","SOCIETY OF ST VINCENT BELCONNEN AU Card xx5767","+12823.05"
15/12/2022,"-8.16","SUSHI SUSHI BELCONNEN BELCONNEN AU Card xx5767","+12835.05"
15/12/2022,"-11.28","THIRSTY CAMEL DAILY ACTON AC AUS Card xx5767 Value Date: 13/12/2022","+12843.21"
13/12/2022,"-22.00","Australia Post Melbourne VICAU","+12854.49"
13/12/2022,"-75.60","Australia Post Melbourne VICAU","+12876.49"
13/12/2022,"-19.02","DON JAPANESE CANBERRA AUSTRALIA VI AUS Card xx5767 Value Date: 11/12/2022","+12952.09"
13/12/2022,"-22.00","BlocHaus Canberra Canberra AU AUS Card xx5767 Value Date: 11/12/2022","+12971.11"
13/12/2022,"-43.95","STEAMGAMES.COM 4259522 Hamburg DE DEU Card xx5767 AUD 43.95 Value Date: 10/12/2022","+12993.11"
